onset_seconds,speaker_id,text
0.0,1,Bom dia [PERSON_A].
2.0,2,Bom dia [UNRESOLVED_ENTITY]. Tudo bem por aí?
10.0,1,Os meninos estão entrando aí? Eu vou pegar só uma água lá enquanto os meninos entram.
26.0,2,tá
184.0,2,"Bom dia, Mateus."
187.0,3,Bom dia [PERSON_A]. Bom dia.
194.0,1,Sim fizemos já mandamos.
256.0,2,se tiver que fazer uma One Page para como é que
264.0,1,da linda
265.0,2,Como é que é o nome dela mesmo que esqueci?
271.0,1,fizemos
274.0,2,Aproveita e me mostra ela.
275.0,1,Deixa eu.
277.0,4,"Hi, I’m transcribing this call with my Tactiq AI Extension: https://tactiq.io/r/transcribing"
281.0,1,Ver se eu acho aqui.
282.0,2,"Na bolsa de ontem nós fechamos da [STARTUP_B]. Fica bacana, né? Depois de tudo isso você fazer uma página. [UNRESOLVED_ENTITY] tá chegando."
305.0,1,Tem aí Thiago? Quem te mandou para [UNRESOLVED_ENTITY]?
314.0,3,"Tá lá no chat, né?"
316.0,5,Vou mandar vou mandar pera aí.
318.0,1,mais fácil
319.0,5,Bom dia [PERSON_A].
321.0,2,Bom dia
323.0,5,Você achou? Deixa eu mandar no chat daqui.
351.0,5,"Vixe, a gente não pode anexar aqui. Mas eu posso abrir e te mostrar aqui."
362.0,2,bem rapidinho só para
365.0,5,"O modelo do slide é meio feião, mas é o que a proposta que é o quem mandou o"
366.0,2,Ficou 620 milhões.
372.0,5,layout foi a própria. [UNRESOLVED_ENTITY] Mas basicamente é isso aí. Ela pediu né? Para a gente definir problema solução. proposta de valor tamanho de mercado que já fizemos e os next steps
420.0,2,Depois de coroas suecas isso.
422.0,5,"É a gente passou para coroas suecas, porque esse material e ia ser todo."
427.0,2,e olha o que em
429.0,5,"Na verdade para dólar a conta de cabeça agora não vou lembrar mais basicamente em reais é metade disso, né?"
438.0,1,"Para dólar é vezes 3, né?"
440.0,5,"Na verdade dividido, né?"
441.0,1,É mais ou menos.
443.0,2,"1,8 B"
449.0,1,aliás
451.0,2,"I / 200 milhões Não sei se eles não vão achar pouco. Daí vocês colocaram no [LOCATION_A], né? Mas vamos começar lá."
464.0,5,Na verdade a gente tá falando de [LOCATION_A].
467.0,1,sim
470.0,5,"A gente está falando de [LOCATION_A] e a gente vai discutir agora, né? Talvez. Não vamos começar a gente vai discutir isso no segue no inazixos. Eu vou começar eu tô compartilhando aqui já tá eu vou começar com o Segue. falando que nós tivemos ontem foi até a razão para a gente te pedir para Para adiar a nossa reunião para hoje era nossa reunião com o senhor da Irineu e ele também tá em outras iniciativas da scanner. Ele é Board da lotes. Ele é foi [PARTNER_A] ventre, eu ainda tenho uma posição algo assim."
521.0,5,"E ele foi muito receptivo. Acho que a reunião foi muito boa, a gente vai ter tempo de discutir bastante coisa dessa reunião hoje. Mas baseado nas conversas com a [UNRESOLVED_ENTITY] e com até o que a gente ouviu dele. Esse mercado poderia ser 50 vezes o que tá aí real ou mentiroso? E a gente sente que [PARTNER_A] ventre esse programa não é um caminho. Não sei se o Mateus tem essa mesma percepção."
553.0,5,"Mas a percepção que eu tenho é essa, na verdade mais do que percepção, né? Eu trato até como informação."
563.0,2,"é eu acho assim, a probabilidade está certa é 99%, porque Eu sempre acho assim, até já falei lá com a linda tal, né? Que em seis meses é impossível chegar no ponto que um vento e põe dinheiro, sabe? Vocês precisam de mais um ano, aí, vocês estariam pronto para dentro e por dinheiro. Vocês teriam que ter prova de tração sequencial, sabe já teriam que tá comercializando. Daí o vento ele vem por dinheiro. Você tá faltando ele, vamos acelerar. Vamos então, vamos por mais dinheiro em margem. Ah não, mas aí precisa aumentar a equipe aumenta a equipe. Ah, mas daí precisa melhorar a solução e melhora a solução pega um monte de dinheiro e vai para o mercado mas para acontecer sabe? Antes disso não é evento e que põe dinheiro sabe é investidor anjo."
622.0,2,"Que põe dinheiro na fase que vocês estão sabe? Então isso daí é meio uma certeza, mas é [UNRESOLVED_ENTITY] de lugar com a Irineu também, não deu certo descartou."
635.0,5,"Na verdade basicamente ele falou né? A gente fez a reunião. ele achou a ideia interessante, ele acha que a ideia pode antecipar sim a doção de elétricos em mercado como brasileiro a gente mostrou para ele Que o mercado por exemplo de Off Road aqui no [LOCATION_A] só em área plantada e a gente tem 40% do território da [LOCATION_E]. E realmente esses números impressionaram só que na hora da que a gente mostrou os números lá do que que a gente precisaria de grana daqui até o final do ano para continuar fazendo as provas que a gente precisa. Ele falou não consigo não tenho o meu Budget é contado na Irineu."
682.0,5,Não tem dinheiro sobrando eu não tenho como mudar o Budget agora no meio do caminho. Não consigo. Ele pelo que nós sentimos ele se mostrou disposto a apoiar um spinning para alguma outra área.
698.0,2,tá
698.0,5,"Mas que não seria [UNRESOLVED_ENTITY], não sei vocês querem complementar alguma coisa Mateus é?"
706.0,1,"Acho que é isso aí mesmo. Ele falou que dinheiro realmente não dá ele sugeriu a gente tentar. [UNRESOLVED_ENTITY] tudo de uma forma que a gente fechasse é de vir e a tecnologia era meio que pagasse e a gente introduziria só mais a carteira de clientes [PARTNER_A], né? E para a [PARTNER_A] não gastar porque meio que não tá dentro do orçamento não tem muito o que fazer."
738.0,3,"Que ele também comentou, né? Que na opinião dele a gente deveria seguir 100% pesado e dependente do leve está mais dinheiro. Foi a opinião dele."
749.0,5,"Isso aí outra coisa que me coloca uma pulga atrás da orelha. Porque para mim muda tudo muda nosso score [UNRESOLVED_ENTITY]. Tanto que eu vou colocar essa lixo, hoje, eu fui mexer no scorecard ontem à noite e eu fiquei nesse dilema a gente tem scorecard para leve. Pesado. Nossa nota cai lá para o ralo. Porque a gente volta a fazer muita validação principalmente comercial ainda. E aí eu acho que eu vou inclusive já declarar essa"
775.0,2,[UNRESOLVED_ENTITY] sim
779.0,5,"Essa isso e a gente vê se vale a pena discutir lá depois ou não. Eu acho que a gente teve conversas o [PERSON_A] bem esclarecedoras essa semana que muda muita coisa que a gente tinha definido. Porque realmente o que a gente sente hoje é óbvio que tá com o veículo. Até que não me gera. Aqui eu vou colocar time, mas é tudo, né mesmo? Como a gente vai estar com o veículo tecnologia era disponível nas próximas semanas duas próximas semanas."
816.0,5,"Óbvio que a gente vai tentar ocupar ele o máximo possível, né? mas o nosso foco principal deve ser no Nos pesados e a gente já sentiu para conseguir um espinho. O nosso discurso agora nessa reta final vai ter que ser para pesados, não tem como. como pensar em leve porque a gente não vai ter apoio dentro da [PARTNER_A] nem"
842.0,2,sim
850.0,5,"Aproveitando vou trazer mais uma informação do segue essa eu encaro como uma boa notícia, talvez a melhor. Ontem o pessoal da lotes lá que opera na [PARTNER_B] caminhões me respondeu que a manutenção do tá dando certo a manutenção do veículo que está lá em [UNRESOLVED_ENTITY]. O motor chegou tá em fase de montagem e hoje até o final do dia ele me devolveria a data que esse caminhão vai estar pronto para a gente agendar."
880.0,5,o piloto com eles para fazer a recarga nesse caminhão voltando do [UNRESOLVED_ENTITY] para [UNRESOLVED_ENTITY] Então a gente tem um conflito bem alto de que pelo menos uma validação com pesado a gente vai levar. para os [UNRESOLVED_ENTITY] finais Vocês lembram mais alguma coisa de segue rapazes? Não lembro mais uma.
