onset_seconds,speaker_id,text
0.0,1,"Bom dia, Mateus. E [UNRESOLVED_ENTITY], tudo bem certo?"
6.0,2,Tudo bem.
6.0,1,"Eu tava numa tela, vocês não entravam daí eu desliguei e entrei e deu certo. Não sei o que aconteceu aqui."
15.0,2,Não tava aparecendo. Quem estava esperando.
18.0,1,não não aparecia daí O Mateus também já
27.0,2,O [UNRESOLVED_ENTITY] tá entrando aqui.
31.0,1,Certinho. Bom dia tia.
47.0,3,"Sim, abrindo já o 21."
49.0,1,Vamos começar também um pouquinho atrasado. Como é que foram de reflexão ainda? da ok
67.0,4,"Hi, I’m transcribing this call with my Tactiq AI Extension: https://tactiq.io/r/transcribing"
70.0,3,Boa vocês estão vendo minha tela pessoal.
70.0,2,nos recuperamos
79.0,1,sim
80.0,3,"Bom, vamos começar aí com o Segue compartilhar boas notícias. Caso elas existam. Tem alguma coisa para falar rapaz?"
92.0,5,"Então, a gente teve semana passada na sexta-feira uma conversa com o [UNRESOLVED_ENTITY] e o [UNRESOLVED_ENTITY] que foi bem boa, né? Se uma aproximação boa com principalmente com Lucas. Que é o cara que é responsável pelo toda pesquisa lá de de [UNRESOLVED_ENTITY], né de vezes em marketing. No que diz infraestrutura de elétricos no [LOCATION_A] e acho que ele ficou bem do nosso lado então acho que foi uma boa notícia da semana passada."
122.0,1,"Mas excelente notícia era o objetivo, né?"
127.0,5,"sim Tivemos um repórter veio falar com a gente. Um repórter da UOL para fazer uma matéria, ele viu a nossa matéria na [UNRESOLVED_ENTITY]. E entrou em contato com a quatro rodas que passou o contato nosso contato para ele e ele tava querendo fazer uma matéria. Aí, ele mandou umas perguntas, só que [PARTNER_F] que LC aqui a comunicação da [PARTNER_A], tá? Aquela velocidade para ajudar a gente né, mas ele mandou as perguntas e a gente vai responder ele para ele fazer uma matéria. Nossa é mais."
166.0,1,Provavelmente agora é uma matéria sobre a Startup.
170.0,5,Isso isso.
171.0,1,"Essa vai ser mais adequada aí para vocês porque vai dar para falar do programa de inovação da [PARTNER_A], vai vai ser melhor essa."
181.0,5,É as perguntas foram mais.
183.0,1,Nesse sentido.
184.0,5,Nesse sentido.
186.0,1,E vocês passaram para eles responderem?
190.0,5,"Não a gente respondeu e só que eu mandei para eles para comunicação tipo validar assim, né?"
196.0,1,Isso ótimo.
197.0,5,"já fiz o trabalho dele, só que"
200.0,1,Não é assim.
200.0,3,Agora agora esperar o time deles.
203.0,5,Não é?
203.0,1,É isso aí dá uma cobradinha do
205.0,5,Ficar cobrando aí eu vou cobrar.
208.0,3,Bom para fechar.
209.0,1,Boa noite você também.
212.0,3,"Para fechar o Segue, aí a gente teve na semana passada [UNRESOLVED_ENTITY] que não podemos. Atender porque não temos veículo disponível, mas ainda fruto das campanhas do [UNRESOLVED_ENTITY] na época do MVP da [CLIENT_A]. A gente teve uma procura de uma pessoa querendo [UNRESOLVED_ENTITY] para ser atendida na [UNRESOLVED_ENTITY] na região de [UNRESOLVED_ENTITY]."
234.0,1,"Veja isso é mais uma prova de tração, né? Vai existir isso, né?"
234.0,3,"É mas eu tive que dar um sambarilove lá falar que a gente tava operando um piloto em outro estado e tal. Não conseguimos atender naquele momento, mas houve essa procura."
255.0,1,excelentes notícias
258.0,3,"A gente não atualizou o score Card semana passada, mas eu tenho. Uma percepção que pela nossa guinada aí para pesados. A gente estacionou ele certo. Não cabe Nem a gente discutir muito acho que vale mais a pena a gente focar mesmo na [UNRESOLVED_ENTITY] e no E no nas eixos acho que talvez a gente vai ter que declarar novas itens porque também. A gente não tem eixos tão [UNRESOLVED_ENTITY] declaradas aí sobre a guinada que a gente deu para pesados. Bom dia toda forma."
303.0,1,"É eu imagino que sim, mas agora acho que tem que pensar assim, tudo foi aprendizado vocês têm que agora supervalorizar o aprendizado, né? Então, vocês já sabem como é que funciona? Como é que faz uma escala menor, mas já sabe, né? Um carregador, talvez menor, mas funciona desse jeito esses aprendizados agora que tem que aproveitar e E vender, eles quase que do mesmo jeito, né? Não dá para dizer que é a mesma coisa mas Mas esse vai ser agora o trabalho, né? Porque vocês e também tem aquele negócio, né? Eu acho que a visão de longo prazo pode continuar tudo, né? Talvez né."
351.0,3,Com certeza
352.0,1,"Mas vocês tem que dizer que vão começar com suporte é o que existe na [PARTNER_A], né? E já ir fazendo junto. Com eles, né o desenvolvimento. Acho que esse é sacada, né? Mas a concepção é a mesma né? Móvel? Que G né que vocês desenvolveram, né? E daí sempre vai ter aquela pergunta, né? Mas vocês querem ou leve ou pesado, né? Talvez não tenha sentido ser a pergunta ou né. Vocês tem que dizer isso, né? Porque se vocês têm um [UNRESOLVED_ENTITY] tem um cara. Querendo abastecer um novo. Ah, não nós somos pesados."
396.0,1,"Vocês têm uma emergência para atender eles não só atender uma emergência de pesado não dá, né? Mas achei esse é o Story tela que tem que ir montando agora e no curto prazo, né? Mas vamos lá."
411.0,3,Beleza agora a gente
412.0,1,"Eu acho até que daí eu escolho [UNRESOLVED_ENTITY], você tem que dizer carregando tantos carros, sabe eu acho. [UNRESOLVED_ENTITY] ali o scorecard do mesmo jeito, né? Você só tem que fazer que o aprendizado também vale para o para vocês"
424.0,3,beleza
429.0,1,"ficarem com a mesma nota ali no kth, né. Porque vocês estavam indo bem não é um retrocesso não, pode ser um retrocesso na cartela. Senão também o kit de vocês não vai responder às perguntas, né?"
442.0,3,Eu vou atualizar aqui. Vou colocar uma atualização do scorecard aqui para mim.
453.0,1,"Porque vocês estavam testando fazer carregamento ver se eu como é que fazia como é que o pessoal entra em contato, como é que vocês atendem, né? Tudo isso vale, né? Então faz Fazer essa ginástica."
478.0,3,Agora a próxima parte a Rock review. Então Zé primeira rock desenvolver análise de mercado e projeções para pesados.
493.0,5,"Tá tudo um track já tem um [UNRESOLVED_ENTITY] aí, principalmente para off-road tem alguma coisa de ter [UNRESOLVED_ENTITY]? E o leve plano cenários também, já já fiz eu acabei dividindo fazendo quatro cenários, né? Com e sem [UNRESOLVED_ENTITY] e fazendo em [UNRESOLVED_ENTITY] fazendo no [UNRESOLVED_ENTITY] e pegando leves e pegando só"
517.0,3,e pesado
523.0,5,pesados. Que eu acabei fazendo.
528.0,1,"E tem off-road também que talvez o possível início, né só."
533.0,5,"É eu acabei colocando isso meio que nessa no pesado assim, né? Tipo? Coloquei como uma fonte de renda, né de faturamento. Leve que é o que a gente já tinha né? O pesado atendendo emergencial e pesado atendendo agendado. E aí nesse pesado seria tanto a flor de quanto?"
565.0,3,Beleza a segunda rock Matheus validar conceitualmente operacionalmente o modelo de negócio próprio.
577.0,2,Mas depois a gente discute na frente porque?
582.0,1,Tem alguma questão já para notar aí?
585.0,2,"Só questão da mineradora [UNRESOLVED_ENTITY], né? A gente ia fazer uma das possibilidades era fazer com um veículo de teste da [PARTNER_A], mas o veículo está manutenção. Então não vai dar para fazer com ele nesse período que a gente tem hoje em abril."
605.0,3,"É a gente está correndo contra o tempo basicamente o [PERSON_A] essa eixo que o Mateus tá declarando já até vou escrever ela lá. ela vai muito de encontro com A isso que eu vou falar aqui do item 3 que é meu beleza. A gente já conversou com seus marketing, já temos aí um plano de seguir conversando com eles até o último dia. Temos conversa agendada, já temos algumas conversas que já aconteceram com a lotes e temos [UNRESOLVED_ENTITY] hoje, a gente vai falar com uma pessoa que já foi [PARTNER_A] Ventures um Sueco e hoje está na [UNRESOLVED_ENTITY] aqui do [LOCATION_A]. Mas a gente está tendo agora essa briga contra o relógio."
645.0,3,"Para conseguir validar operacionalmente porque duas operações [PARTNER_A] tão com os veículos em manutenção e dificilmente. Vão estar aptos aí disponíveis antes do fim da incubação e a gente tá tendo que correr atrás agora de cliente de na verdade de cliente mesmo, né de operador [UNRESOLVED_ENTITY] que tenha de repente. veículo elétrico operando mesmo que seja de concorrente Para a gente tentar fazer uma validação real."
678.0,1,E tem que ter o business.
678.0,3,"Mas a gente tá brigando contra o tempo na verdade o problema não é nem carregador. A gente tá a gente tem o veículo da tecnologia era? Para ficar disponível nos próximos dias então tá entrando de instalar os carregadores fisicamente, né no container. O nosso grande problema não sei também se vocês concordam, mas é a briga contra o tempo agora para conseguir viabilizar a operadora logística que queira fazer uma prova de conceito. A gente tem uma esperança um pouco maior com o da [PARTNER_B] caminhões e ônibus que a gente tem uma nova reunião com eles hoje à tarde."
718.0,3,"E com eles a gente ainda tem uma esperança de acontecer agora os dois da [PARTNER_A], eu te digo que tá 99% descartados. Por uma questão de tempo hábil ambos só vão estar aptos a rodar e ir lá para [UNRESOLVED_ENTITY] meio de Maio, eu acho que com sorte Então acho que essa isso conversa muito com e tem dois e tem três. Que é a gente precisa conseguir veículo para testar? E a gente já tem essa dificuldade na [PARTNER_A]? Vou colocar só para a gente fechar aqui o quatro acho que tá tá um Track, o Zé já rascunhou."
766.0,3,"É um começo de caminho aqui para isso e como a gente está desenvolvendo o conteúdo aqui no item dois no item um no dois e no três. a gente já tem aí esqueleto para os pitts a gente só precisa alimentar de é o que o Zé já tem até o a primeira versão pronta, né, Zé do"
791.0,1,"Na verdade vocês estão validando agora o cliente pesado, né?"
796.0,3,"Ou então eu vou declarar. Uma [UNRESOLVED_ENTITY] para isso que a gente acabou de falar e talvez essa vai ser na hora do ids a primeira que a gente vai. Ter que enfrentar essa aqui é de tudo, né? financeira Service Vamos colocar ela príncipe. Então como [UNRESOLVED_ENTITY] que seria marketing."
826.0,1,"Porque eu gosto de que o marketing seja o primeiro sabe? Vocês estão mostrando a preocupação com o cliente, mas é óbvio que para fazer isso operacional vai ter que estar junto, né? E você também nesse MVP tá testando operacional, né? Então poderia ter ser os dois mas Se por um eu priorizo marketing."
