onset_seconds,speaker_id,text
0.0,1,Bom dia [PERSON_B].
2.0,2,Esperar a turma aí aparecer.
4.0,1,Tudo ótimo. Tem mais alguém chegando?
55.0,1,[UNRESOLVED_ENTITY] dia Tainá.
62.0,3,Bom dia tudo bem?
63.0,1,tudo Que aconteceu com [UNRESOLVED_ENTITY]?
76.0,2,"Acho que nada, deixa eu mandar uma mensagem para ele aqui."
79.0,3,Ele tá online.
92.0,4,"Hi, I’m transcribing this call with my Tactiq AI Extension: https://tactiq.io/r/transcribing"
99.0,1,Outras notícias como é que foi essa semana?
109.0,2,"Bom tivemos várias reuniões aí, né ficar mais importante delas com racha."
110.0,3,Bom dia
124.0,5,compartilhar
144.0,2,"E foi bom o pessoal pode comentar também feeling deles, mas eu achei a reunião muito boa assim em relação ao que a gente a imaginava que ia acontecer e que aconteceu de verdade assim, ele foi bem solícito. Não questionou nada sobre a não tem nada a ver com [PARTNER_A] nada a ver com o trator no questionamento pensando nesse sentido. E ele também comentou que não tem dúvida sobre o problema que a gente está querendo resolver."
174.0,2,"E também passou ele alguns direcionamento de algumas perguntas que ele quer que a gente responda então a gente até já trabalhou nisso, né ao longo da semana aquela coisa a gente comparar o kit aqui. e faz basicamente ele falou cara, me traz uma respostas de porque vocês porque agora é porque a [PARTNER_A] vocês conseguiram responder essas três perguntas, eu acho que a gente consegue ter um caminho então assim pelo menos meu sentimento é que foi bem melhor do que Va esperando a gente toma um monte pancada e não foi assim então trabalham bastante nos feedback escreveu."
211.0,2,"Para colocar também tivemos uma reunião com o link para repassar a questão de cursos etc, então finalizando agora essa parte do Pit. E acho que é isso gente querem comentar alguma coisa."
225.0,5,"Acho que em resumo Isso mesmo o feedback do [UNRESOLVED_ENTITY] foi muito bom a conversa com lindinei a gente conseguiu pegar bastante coisa também. Ele gostou do da forma como a gente só deu uma dica de como a gente segmentar melhor a questão das despesas que estava um negócio meio frutado assim, ele falou tá certo que é uma estimativa, vocês não vão conseguir descobrir o valor por hora das coisas certinho, mas tenta pensar por exemplo lá no começo a gente investe mais em marketing, depois a gente investe mais operacional como fazer esse balanço, ele deu algumas dicas. A gente considerou o da plataforma como operacional."
263.0,1,"são três contas que você tem que fazer quatro no caso de vocês assim é o comercial, né que você tá todo o ou operacional e o administrativo financeiro Como vocês têm um pesado que é investimento na plataforma, né? É o quarto. Você tem que separar em quatro grupos. Não não dá porque ele não é despesa, ele é investimento. Então você para sabe? Porque quando é investimento não entra na dre sabe?"
302.0,5,"Entende, mas aí no caso a manutenção mensal entraria o servidor essas coisas"
