meeting_id,turns_in_transcript,transcript_duration_seconds,speaker_ids_contiguous,min_speaker_id,max_speaker_id,empty_text_turns,empty_text_rate,one_word_turn_rate,median_tokens_per_turn,mean_tokens_per_turn,placeholder_turn_rate,unresolved_entity_turn_rate,person_placeholder_turn_rate,partner_placeholder_turn_rate,repeated_previous_turn_rate,max_gap_seconds,median_gap_seconds,review_flagged_count,review_flagged_rate,duration_seconds,n_turns,n_speakers,speaker_1_pct,speaker_2_pct,speaker_3_pct,speaker_4_pct,speaker_5_pct,validated_duration_seconds,no_gaps,no_null_speaker_id,speaker_id_match,duration_consistent,all_checks_pass,top_speaker_pct,turn_count_match,duration_match,validation_duration_match,severe_flags,caution_flags,final_label,audit_rationale
2024.10.14startup_a,504,5485.0,True,1,4,0,0.0,0.0992063492063492,10.0,21.873015873015873,0.17261904761904762,0.1388888888888889,0.027777777777777776,0.015873015873015872,0.001984126984126984,87.0,6.0,84,0.16666666666666666,5485,504,4,4.210718191760845,59.296390812978494,13.251913962814436,23.240977032446228,0.0,5485,True,True,True,True,True,59.296390812978494,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.10.14startup_b,858,6044.0,True,1,4,0,0.0,0.10256410256410256,7.0,14.808857808857809,0.09673659673659674,0.06060606060606061,0.016317016317016316,0.024475524475524476,0.0011655011655011655,376.0,4.0,63,0.07342657342657342,6044,858,4,49.79321753515302,10.65343258891646,15.153019023986763,24.40033085194376,0.0,6044,True,True,True,True,True,49.79321753515302,True,True,True,,outlier_turn_count; large_within_meeting_gap; elevated_unresolved_entity_rate,include_with_caution,"Caution flags: outlier_turn_count, large_within_meeting_gap, elevated_unresolved_entity_rate"
2024.10.25startup_a,513,5257.0,True,1,4,0,0.0,0.050682261208576995,10.0,22.77972709551657,0.25146198830409355,0.16764132553606237,0.03508771929824561,0.08771929824561403,0.003898635477582846,74.0,5.0,118,0.2300194931773879,5257,513,4,42.77291745910993,24.343856979840243,19.8364397109167,13.04678585013313,0.0,5257,True,True,True,True,True,42.77291745910993,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.10.28startup_b,532,5421.0,True,1,4,0,0.0,0.08646616541353383,9.0,22.644736842105264,0.17481203007518797,0.15037593984962405,0.015037593984962405,0.020676691729323307,0.0,55.0,6.0,101,0.18984962406015038,5421,532,4,12.32017705643674,26.429361859092587,22.132054592401328,39.11840649206935,0.0,5421,True,True,True,True,True,39.11840649206935,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.11.04startup_a,420,5257.0,True,1,4,0,0.0,0.08095238095238096,11.5,26.93095238095238,0.2761904761904762,0.21666666666666667,0.05952380952380952,0.05714285714285714,0.0,76.0,7.0,127,0.30238095238095236,5257,420,4,46.69075694180297,6.865728413845568,34.93723849372385,11.506276150627617,0.0,5257,True,True,True,True,True,46.69075694180297,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.11.04startup_b,461,5069.0,True,1,4,0,0.0,0.08893709327548807,11.0,22.44468546637744,0.16268980477223427,0.13449023861171366,0.008676789587852495,0.04121475054229935,0.0,77.0,7.0,74,0.16052060737527116,5069,461,4,30.69033530571992,15.364891518737672,43.35305719921104,10.59171597633136,0.0,5069,True,True,True,True,True,43.35305719921104,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.11.11startup_a,431,5259.0,True,1,4,0,0.0,0.06264501160092807,12.0,23.48955916473318,0.22505800464037123,0.1345707656612529,0.05568445475638051,0.06496519721577726,0.002320185614849188,73.0,7.0,83,0.1925754060324826,5259,431,4,40.96958174904943,6.749049429657795,33.5171102661597,18.76425855513308,0.0,5259,True,True,True,True,True,40.96958174904943,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.11.11startup_b,670,5557.0,True,1,4,0,0.0,0.08059701492537313,8.0,19.280597014925373,0.15522388059701492,0.13134328358208955,0.016417910447761194,0.026865671641791045,0.0,68.0,5.0,112,0.16716417910447762,5557,670,4,35.42641237855344,16.138898884490825,29.039222741993523,19.395465994962212,0.0,5557,True,True,True,True,True,35.42641237855344,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.11.18startup_a,368,5378.0,True,1,4,0,0.0,0.0625,14.0,29.671195652173914,0.22826086956521738,0.15760869565217392,0.08423913043478261,0.024456521739130436,0.0,93.0,8.5,71,0.19293478260869565,5378,368,4,43.725599553820416,37.237404722067296,2.4539877300613497,16.583007994050938,0.0,5378,True,True,True,True,True,43.725599553820416,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
2024.11.18startup_b,507,5338.0,True,1,4,0,0.0,0.08481262327416174,10.0,23.368836291913215,0.1814595660749507,0.14398422090729784,0.02564102564102564,0.03944773175542406,0.0,74.0,6.0,96,0.1893491124260355,5338,507,4,31.74751826184679,15.82693388274958,18.954860460760443,33.47068739464319,0.0,5338,True,True,True,True,True,33.47068739464319,True,True,True,,elevated_unresolved_entity_rate,include_with_caution,Caution flags: elevated_unresolved_entity_rate
