event_id,meeting_id,quality_label,peak_second,onset_second,offset_second,temporal_position,timing_bin,joint_corroborated,peak_entropy,combined_delta,z_delta_entropy,z_delta_pct_det,peak_pct_det,peak_rmse,meeting_duration_seconds,window_start_second,window_end_second,segment_n_turns,trigger_type,trigger_subtype,smm_dimension,confidence,content_summary,justification,classifier
evt_001,2024.10.14startup_a,include,192,179,224,0.0349981771782719,early,False,1.980952245229484,0.3499517384750528,0.6886262202347858,0.0112772567153198,98.37153952148316,0.2377691646669787,5486.0,12,372,38,functional_reorientation,FR_role,smm_roles,conf_medium,Start of meeting: facilitator assigns roles (facilitador/integrador),Team sets up meeting structure by assigning procedural roles; entropy rise reflects early coordination ambiguity.,full_run
evt_002,2024.10.14startup_a,include,1515,1510,1519,0.2761574917973022,early,False,1.690234376245165,0.3583316653267029,0.5095524653160917,0.2071108653373141,97.3861866020426,0.2110168695314743,5486.0,1335,1695,33,functional_reorientation,FR_procedural,smm_strategy,conf_medium,Time check; transition from warm-up to structured problem-solving section,Facilitator marks clock and signals shift to solutions phase without frame disruption.,full_run
evt_003,2024.10.14startup_a,include,2169,2169,2175,0.3953700328107911,middle,False,1.6724333972231755,0.4613866804289026,0.8840623076615752,0.03871105319623,99.59482729513456,0.2493057295439473,5486.0,1989,2349,30,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,The team discusses two MVP paths: partnering with a supplier and finding an initial client to make the MVP concrete.,"The team is elaborating an existing line of action (MVP development), detailing two concrete next steps without disrupting the shared frame. No competing interpretations or frame-challenging content appears; the conversation builds on the established problem and converts it into structured tasks.",calibration
evt_004,2024.10.14startup_a,include,3271,3243,3280,0.5962449872402479,middle,False,1.9124457035653704,0.4825385043641567,0.2818755114281938,0.6832014973001197,96.10647596344856,0.4394521536553857,5486.0,3091,3451,35,cognitive_perturbation,CP_constraint,smm_strategy,conf_medium,Mentor challenges pricing: must outcompete driver earnings from Movie competitor,Mentor introduces external competitive pricing constraint on revenue model.,full_run
evt_005,2024.10.14startup_a,include,4453,4443,4463,0.8117025154939846,late,False,1.736339181998297,0.2324167289529783,0.2668901355194937,0.197943322386463,97.38778331934226,0.2824862955259511,5486.0,4273,4633,39,functional_reorientation,FR_procedural,smm_strategy,conf_medium,Issue list review: reprioritizing and cleaning up backlog items,Team systematically reviews and prunes issue list; purely procedural.,full_run
evt_006,2024.10.14startup_a,include,5240,5230,5248,0.955158585490339,late,True,1.7283412475895337,0.6331457914573153,0.3199510207398323,0.9463405621747984,95.15700671770036,0.833180494997918,5486.0,5060,5420,46,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,Mentor guides weekly task planning; team assigns action items for the week,Action framework elaborated with concrete weekly tasks; no new frame introduced.,full_run
evt_007,2024.10.25startup_a,include,1078,1042,1088,0.205020920502092,early,False,1.9131516004274849,0.3290802730931915,0.6311276959554699,0.027032850230913,98.367161809729,0.1808351020050803,5258.0,898,1258,22,cognitive_perturbation,CP_constraint,smm_strategy,conf_medium,Mentor: too early for large marketing campaign—must gain operational experience through MVPs first,Sequencing constraint imposed on marketing plan: learn before scale.,full_run
evt_008,2024.10.25startup_a,include,2343,2340,2347,0.4456066945606695,middle,False,1.801263060910678,0.2883785289146148,0.2666820051595505,0.310075052669679,96.32104620248616,0.5371347711986251,5258.0,2163,2523,58,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,Discussing sales patience with unresponsive contact; mentor advises multi-front approach,Customer acquisition strategy elaborated with sales persistence guidance.,full_run
evt_009,2024.10.25startup_a,include,2475,2472,2487,0.4707112970711297,middle,False,1.8847324924850224,0.3839145171799635,0.2468366092301736,0.5209924251297534,96.31655725747628,0.5030674991934717,5258.0,2295,2655,54,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,Mentor generates 'anticipating a truth' strategy to resolve chicken-and-egg coordination problem,Novel negotiation heuristic: tell each party the timeline as anticipation of truth rather than a lie.,full_run
evt_010,2024.10.25startup_a,include,2554,2528,2594,0.4857360213008748,middle,False,1.948738046931766,0.0421951131691028,0.0389887568802456,0.0454014694579599,96.96949646000132,0.1049109671022969,5258.0,2374,2734,42,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,Team extends 'anticipating a truth' strategy to second contact (Sky),New strategy applied to additional lead; scope elaborated without new perturbation.,full_run
