meeting_id,duration_seconds,n_turns,n_speakers,speaker_1_pct,speaker_2_pct,speaker_3_pct,speaker_4_pct,speaker_5_pct
2024.10.14startup_a,5485,504,4,4.210718191760845,59.296390812978494,13.251913962814436,23.240977032446228,0.0
2024.10.14startup_b,6044,858,4,49.79321753515302,10.65343258891646,15.153019023986765,24.400330851943757,0.0
2024.10.25startup_a,5257,513,4,42.77291745910993,24.343856979840243,19.8364397109167,13.04678585013313,0.0
2024.10.28startup_b,5421,532,4,12.320177056436739,26.429361859092587,22.132054592401328,39.11840649206935,0.0
2024.11.04startup_a,5257,420,4,46.69075694180297,6.865728413845568,34.93723849372385,11.506276150627615,0.0
2024.11.04startup_b,5069,461,4,30.69033530571992,15.364891518737673,43.353057199211044,10.591715976331361,0.0
2024.11.11startup_a,5259,431,4,40.96958174904943,6.749049429657795,33.5171102661597,18.76425855513308,0.0
2024.11.11startup_b,5557,670,4,35.42641237855344,16.138898884490825,29.039222741993523,19.395465994962215,0.0
2024.11.18startup_a,5378,368,4,43.725599553820416,37.237404722067296,2.4539877300613497,16.583007994050938,0.0
2024.11.18startup_b,5338,507,4,31.74751826184679,15.826933882749579,18.954860460760443,33.47068739464319,0.0
2024.12.02startup_b,5420,922,4,29.016786570743406,31.98671831765357,24.700239808153476,14.296255303449549,0.0
2024.12.09startup_a,5389,514,4,46.14100185528757,29.591836734693878,14.434137291280148,9.833024118738404,0.0
2024.12.13startup_a,5205,491,3,43.41144832885133,34.09527468305801,22.493276988090663,0.0,0.0
2024.12.16startup_b,5283,662,4,31.074943224829674,24.129447388342165,32.5889477668433,12.20666161998486,0.0
2024.12.23startup_a,5340,439,4,15.689945703051864,30.967983523684705,34.244523497472386,19.09754727579105,0.0
2024.12.23startup_b,5511,531,4,41.9811320754717,24.11103047895501,14.38679245283019,19.521044992743107,0.0
2025.01.06startup_a,5684,657,3,20.668425681618295,40.87950747581355,38.452066842568165,0.0,0.0
2025.01.06startup_b,5846,501,3,42.945100051308366,12.194287668890029,44.86061227980161,0.0,0.0
2025.01.13startup_a,5418,415,4,46.81675585901458,26.333271821369255,20.686473519099465,6.163498800516701,0.0
2025.01.13startup_b,5654,471,4,50.76923076923077,20.760389036251105,5.517241379310345,22.95313881520778,0.0
2025.02.10startup_b,5413,481,3,47.6727004063539,35.851496121167344,16.47580347247876,0.0,0.0
2025.02.24startup_a,5132,391,4,23.82622248197935,52.05532826806935,19.871420222092343,4.247029027858952,0.0
2025.02.24startup_b,5124,405,4,12.487804878048781,24.13658536585366,57.36585365853659,6.009756097560976,0.0
2025.03.02startup_a,5258,324,4,38.448374215630345,29.359193763072827,25.9364898269633,6.255942194333524,0.0
2025.03.17startup_a,5271,386,5,50.73975720789074,2.465857359635812,37.898330804248864,0.05690440060698027,8.839150227617603
2025.03.17startup_b,6353,718,5,53.38369531004092,25.22820270695625,0.03147623544224111,2.6282656594271323,18.72836008813346
2025.03.24startup_b,5274,559,5,20.701421800947866,46.71090047393365,7.279620853080568,0.037914691943127965,25.270142180094787
2025.03.25startup_a,5114,358,5,8.426197458455523,50.49853372434018,1.5249266862170088,0.07820136852394917,39.47214076246334
2025.03.31startup_a,5127,357,5,43.6427457098284,40.971138845553824,0.09750390015600624,4.504680187207488,10.783931357254291
2025.03.31startup_b,6325,441,5,55.81726209294973,26.493834966803668,2.2763199494151123,0.11065444198545685,15.301928548846032
2025.04.07startup_a,5932,542,4,42.42373167031856,40.451710770267994,0.05056463846283499,17.073992920950616,0.0
2025.04.07startup_b,6482,767,5,43.17445627024526,15.79515656331945,0.07712478790683326,26.16072805799784,14.792534320530619
2025.04.14startup_a,6224,475,4,55.967871485943775,17.012048192771083,0.1285140562248996,26.89156626506024,0.0
2025.04.14startup_b,5207,417,5,26.862519201228878,55.56835637480799,0.03840245775729647,5.203533026113671,12.327188940092165
