meeting_id,turns_in_transcript,transcript_duration_seconds,speaker_ids_contiguous,min_speaker_id,max_speaker_id,empty_text_turns,empty_text_rate,one_word_turn_rate,median_tokens_per_turn,mean_tokens_per_turn,placeholder_turn_rate,unresolved_entity_turn_rate,person_placeholder_turn_rate,partner_placeholder_turn_rate,repeated_previous_turn_rate,max_gap_seconds,median_gap_seconds,review_flagged_count,review_flagged_rate,duration_seconds,n_turns,n_speakers,speaker_1_pct,speaker_2_pct,speaker_3_pct,speaker_4_pct,speaker_5_pct,validated_duration_seconds,no_gaps,no_null_speaker_id,speaker_id_match,duration_consistent,all_checks_pass,top_speaker_pct,turn_count_match,duration_match,validation_duration_match,severe_flags,caution_flags,quality_label,audit_rationale
2024.10.14startup_a,504,5485.0,True,1,4,0,0.0,0.0992063492063492,10.0,21.873015873015877,0.1726190476190476,0.1388888888888889,0.0277777777777777,0.0158730158730158,0.0019841269841269,87.0,6.0,84,0.1666666666666666,5485,504,4,4.210718191760845,59.296390812978494,13.251913962814436,23.240977032446228,0.0,5485,True,True,True,True,True,59.296390812978494,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.10.25startup_a,513,5257.0,True,1,4,0,0.0,0.0506822612085769,10.0,22.77972709551657,0.2514619883040935,0.1676413255360623,0.0350877192982456,0.087719298245614,0.0038986354775828,74.0,5.0,118,0.2300194931773879,5257,513,4,42.77291745910993,24.343856979840243,19.8364397109167,13.04678585013313,0.0,5257,True,True,True,True,True,42.77291745910993,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.10.28startup_b,532,5421.0,True,1,4,0,0.0,0.0864661654135338,9.0,22.644736842105264,0.1748120300751879,0.150375939849624,0.0150375939849624,0.0206766917293233,0.0,55.0,6.0,101,0.1898496240601503,5421,532,4,12.32017705643674,26.429361859092587,22.132054592401328,39.11840649206935,0.0,5421,True,True,True,True,True,39.11840649206935,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.11.04startup_a,420,5257.0,True,1,4,0,0.0,0.0809523809523809,11.5,26.904761904761905,0.2904761904761905,0.1714285714285714,0.0714285714285714,0.1166666666666666,0.0,76.0,7.0,91,0.2166666666666666,5257,420,4,46.69075694180297,6.865728413845568,34.93723849372385,11.506276150627617,0.0,5257,True,True,True,True,True,46.69075694180297,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.11.04startup_b,461,5069.0,True,1,4,0,0.0,0.088937093275488,11.0,22.44468546637744,0.1626898047722342,0.1344902386117136,0.0086767895878524,0.0412147505422993,0.0,77.0,7.0,74,0.1605206073752711,5069,461,4,30.69033530571992,15.364891518737672,43.35305719921104,10.59171597633136,0.0,5069,True,True,True,True,True,43.35305719921104,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.11.11startup_a,431,5259.0,True,1,4,0,0.0,0.062645011600928,12.0,23.48955916473318,0.2250580046403712,0.1345707656612529,0.0556844547563805,0.0649651972157772,0.0023201856148491,73.0,7.0,83,0.1925754060324826,5259,431,4,40.96958174904943,6.749049429657795,33.5171102661597,18.76425855513308,0.0,5259,True,True,True,True,True,40.96958174904943,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.11.11startup_b,670,5557.0,True,1,4,0,0.0,0.0805970149253731,8.0,19.280597014925373,0.1552238805970149,0.1313432835820895,0.0164179104477611,0.026865671641791,0.0,68.0,5.0,112,0.1671641791044776,5557,670,4,35.42641237855344,16.138898884490825,29.039222741993523,19.39546599496221,0.0,5557,True,True,True,True,True,35.42641237855344,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.11.18startup_a,368,5378.0,True,1,4,0,0.0,0.0625,14.0,29.671195652173918,0.2282608695652173,0.1576086956521739,0.0842391304347826,0.0244565217391304,0.0,93.0,8.5,71,0.1929347826086956,5378,368,4,43.725599553820416,37.237404722067296,2.4539877300613497,16.583007994050938,0.0,5378,True,True,True,True,True,43.725599553820416,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.11.18startup_b,507,5338.0,True,1,4,0,0.0,0.0848126232741617,10.0,23.36883629191321,0.1814595660749507,0.1439842209072978,0.0256410256410256,0.039447731755424,0.0,74.0,6.0,96,0.1893491124260355,5338,507,4,31.74751826184679,15.82693388274958,18.954860460760443,33.47068739464319,0.0,5338,True,True,True,True,True,33.47068739464319,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
2024.12.09startup_a,514,5389.0,True,1,4,0,0.0,0.0914396887159533,10.0,22.57003891050584,0.2529182879377432,0.159533073929961,0.0953307392996108,0.0291828793774319,0.0019455252918287,76.0,6.0,102,0.1984435797665369,5389,514,4,46.14100185528757,29.59183673469388,14.434137291280148,9.833024118738404,0.0,5389,True,True,True,True,True,46.14100185528757,True,True,True,,,include,No structural or distributional flags detected in the audit criteria.
